#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 16.42.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.486,21.627] °C
##Sample holder climate : relative humidity:	[38.921,38.428] %
##IR temperature [0]:	[21.33,23.33] °C
##Stage temperature:	[21.3819,21.4165] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.08511,50.0781
1.08375,50.0427
1.08301,50.0505
1.08252,50.0572
1.0821,50.0578
1.08183,50.059
1.0816,50.0622
1.0814,50.0665
1.08123,50.0676
1.08109,50.0709
1.08099,50.0712
1.08087,50.0722
1.08076,50.0734
1.08068,50.0727
1.08058,50.0754
1.08047,50.0763
1.08036,50.0752
1.08028,50.0744
1.0802,50.0776
1.08013,50.077
1.08006,50.0809
1.07997,50.079
1.0799,50.079
1.07983,50.0791
1.07976,50.08
1.07967,50.0834
1.07962,50.0821
1.07954,50.0847
1.0795,50.0819
1.07944,50.0828
1.07937,50.082
1.07934,50.0843
1.07924,50.0816
1.07922,50.0838
1.07916,50.0836
1.07907,50.0861
1.07901,50.086
1.07898,50.0863
1.07893,50.0862
1.07889,50.0867
1.07882,50.0856
1.07878,50.0859
1.07873,50.0852
1.07866,50.0854
1.07862,50.0846
1.07862,50.0879
1.07855,50.0864
1.07849,50.0863
1.07845,50.0854
1.07841,50.0876
1.07837,50.089
1.07834,50.0879
1.07828,50.0829
1.07825,50.087
1.07825,50.0875
1.07816,50.0899
1.07812,50.0869
1.0781,50.0901
1.07806,50.091
1.07803,50.0908
1.07799,50.0896
1.07796,50.0891
1.07794,50.0899
1.07771,50.0423
1.07752,50.0021
1.07701,49.8649
1.07641,49.6869
1.07556,49.4695
1.07473,49.2485
1.07378,48.9829
1.07265,48.6763
1.07136,48.3223
1.06991,47.919
1.06829,47.4771
1.06662,47.02
1.06474,46.5132
1.05925,45.0394
1.05367,43.5521
1.04835,42.1333
1.04247,40.6242
1.03663,39.1323
1.03088,37.6921
1.02518,36.2922
1.01937,34.8952
1.01305,33.4284
1.00695,32.0344
1.0006,30.6241
0.99438,29.2745
0.987546,27.8495
0.98069,26.4491
0.973861,25.1084
0.966946,23.8009
0.959352,22.4202
0.951778,21.0933
0.94448,19.8692
0.93679,18.6382
0.928689,17.3978
0.920031,16.1523
0.911476,14.9852
0.902794,13.8687
0.894228,12.8371
0.884886,11.7903
0.875316,10.7859
0.868368,10.0957
0.862927,9.58441
0.858318,9.16725
0.858036,9.12345
0.857199,9.04093
0.855825,8.91228
0.853953,8.74958
0.851948,8.57849
0.849463,8.37583
0.846384,8.12686
0.843181,7.87929
0.839936,7.62842
0.835356,7.30386
0.831794,7.05538
0.826785,6.72374
0.822272,6.43349
0.81761,6.14784
0.812005,5.82183
0.806911,5.54272
0.800753,5.2202
0.795168,4.94404
0.789299,4.67022
0.783152,4.39928
0.776727,4.13465
0.771065,3.91073
0.76393,3.65006
0.757666,3.43347
0.752039,3.2498
0.745071,3.0361
0.738984,2.86001
0.732671,2.6867
0.725951,2.51367
0.720453,2.3818
0.713181,2.21205
0.707242,2.0826
0.700843,1.95235
0.696025,1.85798
0.689243,1.73086
0.684064,1.63907
0.678585,1.5475
0.671281,1.43119
0.667611,1.37384
0.659597,1.26067
0.655677,1.20381
0.649415,1.12203
0.645256,1.06812
0.63888,0.990563
0.634397,0.939785
0.62752,0.866381
0.622845,0.816535
