#ID:	2
#type:	Set light intensity
#start_time:	16/04/2025 16.48.02
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
##Sample holder climate : temperature:	[21.627,21.627] °C
##Sample holder climate : relative humidity:	[38.428,38.428] %
##IR temperature [0]:	[23.33,23.33] °C
##Stage temperature:	[21.4165,21.4165] °C
##Light intensity:	[0,100] %
#
#wavelength (nm),intensity (W/m2/nm)
330,0
332.969,3.67774E-5
335.937,7.78815E-5
338.906,0.0249473
341.875,0.0105117
344.844,1.40512E-5
347.812,4.5353E-5
350.781,1.59146E-5
353.75,0.114244
356.719,0.280616
359.687,0.715256
362.656,1.60248
365.625,2.94795
368.594,3.54636
371.562,3.41394
374.531,3.12412
377.5,2.88973
380.469,2.69596
383.437,2.67949
386.406,3.19137
389.375,3.4288
392.344,3.95519
395.312,3.77445
398.281,3.03334
401.25,2.51141
404.219,2.61166
407.187,2.76383
410.156,3.29901
413.125,4.6487
416.094,5.9366
419.062,5.58679
422.031,4.50917
425,4.01499
427.969,3.93726
430.937,4.47766
433.906,5.35251
436.875,6.86204
439.844,8.0712
442.812,8.33652
445.781,7.2656
448.75,5.75226
451.719,5.06265
454.687,4.76459
457.656,4.89354
460.625,4.82908
463.594,4.9879
466.562,5.55651
469.531,5.33331
472.5,4.86072
475.469,4.27032
478.437,3.88851
481.406,3.67308
484.375,3.58627
487.344,3.62936
490.312,3.63093
493.281,3.716
496.25,3.80122
499.219,3.97532
502.187,4.22733
505.156,4.34955
508.125,4.51257
511.094,4.66972
514.062,4.67562
517.031,4.71553
520,4.74275
522.969,4.75229
525.937,4.87735
528.906,4.81919
531.875,4.84761
534.844,4.90862
537.812,4.90925
540.781,4.98135
543.75,4.93588
546.719,5.0021
549.687,4.95278
552.656,4.81804
555.625,4.84495
558.594,4.63538
561.562,4.52279
564.531,4.44305
567.5,4.34297
570.469,4.30779
573.437,4.12514
576.406,4.06739
579.375,4.00395
582.344,3.94389
585.312,3.88116
588.281,3.8164
591.25,3.82349
594.219,3.63404
597.187,3.69293
600.156,3.52295
