#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000467376 mW
#Current:	0.000311705 mA
#Voltage:	-1.49942 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,0.201091,0.000377112,7.58339E-5,Inf
1.67603,0.151611,-0.000104162,-1.5792E-5,Inf
2.18901,0.0969118,-0.000108559,-1.05206E-5,Inf
2.70938,0.121696,-0.000262431,-3.19369E-5,Inf
3.2313,0.151446,0.000127613,1.93264E-5,Inf
3.75882,-0.0472659,0.000258431,-1.2215E-5,Inf
4.28574,-0.252444,-5.11077E-5,1.29018E-5,Inf
4.81664,-0.0474809,-0.00012375,5.87576E-6,Inf
5.34152,0.151316,3.14509E-5,4.75903E-6,Inf
5.86339,-0.0475763,0.00029295,-1.39375E-5,Inf
6.39095,-0.252543,9.68332E-5,-2.44545E-5,Inf
6.92545,-0.450786,0.000269568,-0.000121518,Inf
7.44264,-0.647243,0.00014049,-9.09311E-5,Inf
7.97502,-0.842752,0.000357607,-0.000301374,Inf
8.49738,-1.03951,0.000370073,-0.000384694,Inf
9.02466,-1.23835,0.000577328,-0.000714931,Inf
9.55579,-1.43484,0.000666229,-0.000955933,Inf
10.0928,-1.63065,0.000359622,-0.000586419,Inf
10.6212,-1.52915,0.000702283,-0.0010739,Inf
11.1508,-1.48205,0.000441387,-0.000654156,Inf
11.6736,-1.52897,0.000500097,-0.000764632,Inf
12.2051,-1.50588,0.000536083,-0.000807276,Inf
12.72,-1.49143,0.0003265,-0.000486952,Inf
13.2561,-1.50534,0.000336362,-0.00050634,Inf
13.7852,-1.50071,0.000644573,-0.000967316,Inf
14.3172,-1.49587,0.00027472,-0.000410946,Inf
14.8409,-1.50086,0.0003265,-0.00049003,Inf
15.3633,-1.50084,0.000267323,-0.000401209,Inf
15.8944,-1.49626,0.0004917,-0.000735714,Inf
16.4212,-1.50098,0.000254995,-0.000382742,Inf
16.9559,-1.50122,0.000351156,-0.000527162,Inf
17.4849,-1.50103,0.000348691,-0.000523397,Inf
18.0221,-1.49636,0.000388142,-0.000580799,Inf
18.5537,-1.50099,0.000410333,-0.000615903,Inf
19.0765,-1.49613,0.00018349,-0.000274525,Inf
19.6041,-1.5009,0.000501563,-0.000752797,Inf
20.1267,-1.50092,0.000311705,-0.000467844,Inf
20.6491,-1.49626,0.000363485,-0.000543867,Inf
21.1811,-1.50088,0.000565671,-0.000849006,Inf
21.7117,-1.50089,0.000301843,-0.000453034,Inf
22.2392,-1.49601,0.000398004,-0.000595419,Inf
22.7605,-1.5006,0.000269789,-0.000404844,Inf
23.2898,-1.50104,0.000336362,-0.000504894,Inf
23.8281,-1.50091,0.000573068,-0.000860125,Inf
24.3501,-1.49634,0.000252529,-0.000377869,Inf
24.8797,-1.50107,0.000336362,-0.000504904,Inf
25.4113,-1.49601,0.000548411,-0.000820427,Inf
25.9404,-1.50053,0.000358553,-0.000538021,Inf
26.468,-1.49628,0.000193353,-0.00028931,Inf
26.9906,-1.50076,0.000432524,-0.000649114,Inf
27.5258,-1.49595,0.00041773,-0.000624902,Inf
28.0528,-1.50074,0.000304308,-0.000456686,Inf
28.5853,-1.50096,0.000486769,-0.00073062,Inf
29.1054,-1.49609,0.000361019,-0.000540118,Inf
29.6304,-1.50084,0.000462112,-0.000693556,Inf
30.1537,-1.49615,0.000523754,-0.000783616,Inf
30.6828,-1.50115,0.000484303,-0.00072701,Inf
31.2171,-1.49609,0.000462112,-0.000691361,Inf
31.7488,-1.50127,0.000304308,-0.00045685,Inf
32.2793,-1.50109,0.000489235,-0.000734385,Inf
32.7985,-1.50102,0.00030924,-0.000464174,Inf
33.3293,-1.50122,0.00029198,-0.000438327,Inf
33.8557,-1.49644,0.000356088,-0.000532863,Inf
34.3894,-1.50128,0.000447318,-0.000671551,Inf
34.9048,-1.49668,0.000398004,-0.000595687,Inf
35.4417,-1.50133,0.000420195,-0.000630852,Inf
35.974,-1.50097,0.000237735,-0.000356833,Inf
36.5021,-1.5011,0.000610053,-0.000915751,Inf
37.0365,-1.49635,0.00047444,-0.00070993,Inf
37.5603,-1.50076,0.00061745,-0.000926643,Inf
38.0933,-1.49617,0.000215544,-0.00032249,Inf
38.6234,-1.5013,0.000422661,-0.000634542,Inf
39.157,-1.49646,0.000185956,-0.000278274,Inf
39.6853,-1.50124,0.00050896,-0.00076407,Inf
40.2168,-1.50114,0.000481838,-0.000723303,Inf
40.7491,-1.50098,0.000378279,-0.00056779,Inf
41.271,-1.49658,0.000639641,-0.000957275,Inf
41.7939,-1.50097,0.000378279,-0.000567785,Inf
42.326,-1.50104,0.000437455,-0.00065664,Inf
42.8495,-1.50081,0.000144039,-0.000216175,Inf
43.3798,-1.50096,0.000412798,-0.000619594,Inf
43.9042,-1.50103,0.000245132,-0.000367949,Inf
44.4374,-1.50097,0.000378279,-0.000567784,Inf
44.9592,-1.50094,0.000777719,-0.00116731,Inf
45.4909,-1.49602,0.000452249,-0.000676575,Inf
46.0209,-1.50125,0.000563205,-0.000845511,Inf
46.5508,-1.50098,0.000356088,-0.00053448,Inf
47.0855,-1.49594,0.000555808,-0.000831456,Inf
47.6185,-1.50118,0.00043499,-0.000652998,Inf
48.147,-1.50106,0.000659367,-0.000989747,Inf
48.6823,-1.50103,0.000462112,-0.000693645,Inf
49.2073,-1.49627,0.000447318,-0.000669307,Inf
49.7374,-1.50109,0.000358553,-0.000538222,Inf
50.2637,-1.49624,0.000316637,-0.000473766,Inf
50.7964,-1.501,0.000412798,-0.000619611,Inf
51.3232,-1.49617,0.000388142,-0.000580724,Inf
51.8583,-1.50069,0.000245132,-0.000367867,Inf
52.391,-1.49645,0.000513891,-0.000769014,Inf
52.9055,-1.50086,0.000582931,-0.000874897,Inf
53.4286,-1.49599,0.000405401,-0.000606477,Inf
