#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000311542 mW
#Current:	-0.000239242 mA
#Voltage:	1.30221 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,1.41967,-0.000177024,-0.000251316,Inf
1.67603,1.37073,-0.000226804,-0.000310886,Inf
2.18901,1.31657,-0.000181887,-0.000239468,Inf
2.70938,1.34602,-0.000150833,-0.000203024,Inf
3.2313,1.33111,-0.000239598,-0.000318931,Inf
3.75882,1.31683,-0.000327362,-0.000431081,Inf
4.28574,1.29734,-0.000326362,-0.000423403,Inf
4.81664,1.30696,-0.000240063,-0.000313753,Inf
5.34152,1.30197,-0.000333759,-0.000434544,Inf
5.86339,1.297,-0.0003165,-0.0004105,Inf
6.39095,1.3018,-9.21225E-5,-0.000119925,Inf
6.92545,1.30175,-0.000188284,-0.000245099,Inf
7.44264,1.30185,-0.000116779,-0.000152029,Inf
7.97502,1.30204,-0.000254858,-0.000331836,Inf
8.49738,1.30167,-0.000141436,-0.000184104,Inf
9.02466,1.30197,-0.000474303,-0.000617527,Inf
9.55579,1.30168,-0.000272117,-0.00035421,Inf
10.0928,1.30165,-0.000341156,-0.000444066,Inf
10.6212,1.30198,-0.000227735,-0.000296507,Inf
11.1508,1.30185,-0.000215407,-0.000280427,Inf
11.6736,1.30191,-0.000257323,-0.000335011,Inf
12.2051,1.30204,-0.000294308,-0.000383201,Inf
12.72,1.30197,-0.000183353,-0.00023872,Inf
13.2561,1.30225,-0.000333759,-0.000434638,Inf
13.7852,1.30218,-0.000358416,-0.000466724,Inf
14.3172,1.30164,-0.000370745,-0.000482575,Inf
14.8409,1.30224,-0.000171024,-0.000222714,Inf
15.3633,1.30191,-0.000353485,-0.000460207,Inf
15.8944,1.30198,-0.000277049,-0.000360712,Inf
16.4212,1.30249,-0.000168559,-0.000219546,Inf
16.9559,1.30169,-0.000195681,-0.000254717,Inf
17.4849,1.30182,-0.000284446,-0.000370296,Inf
18.0221,1.30222,-0.000528548,-0.000688285,Inf
18.5537,1.30194,-0.000555671,-0.000723449,Inf
19.0765,1.30214,-0.000338691,-0.000441023,Inf
19.6041,1.30238,-0.000526083,-0.00068516,Inf
20.1267,1.30236,-0.000691283,-0.000900303,Inf
20.6491,1.30195,-0.00035595,-0.000463429,Inf
21.1811,1.30196,-0.000338691,-0.00044096,Inf
21.7117,1.30185,-0.000343622,-0.000447344,Inf
22.2392,1.30188,-0.000222804,-0.000290063,Inf
22.7605,1.30214,-0.000474303,-0.00061761,Inf
23.2898,1.30191,-0.000358416,-0.000466624,Inf
23.8281,1.30186,-0.00028198,-0.000367099,Inf
24.3501,1.30197,-0.00035595,-0.000463436,Inf
24.8797,1.30199,-0.000136505,-0.000177728,Inf
25.4113,1.30182,-0.000306637,-0.000399187,Inf
25.9404,1.30197,-0.000348553,-0.000453806,Inf
26.468,1.302,-0.000328828,-0.000428133,Inf
26.9906,1.30189,-0.000422524,-0.00055008,Inf
27.5258,1.30216,-0.000227735,-0.000296547,Inf
28.0528,1.30178,-0.000267186,-0.000347818,Inf
28.5853,1.30209,-0.000331294,-0.000431374,Inf
29.1054,1.30208,-0.00024746,-0.000322212,Inf
29.6304,1.30208,-0.000171024,-0.000222688,Inf
30.1537,1.30191,-0.00035595,-0.000463414,Inf
30.6828,1.30181,-0.000580328,-0.000755478,Inf
31.2171,1.3022,-0.000183353,-0.000238762,Inf
31.7488,1.30209,-0.00046444,-0.000604743,Inf
32.2793,1.30219,-0.000106917,-0.000139226,Inf
32.7985,1.30216,-0.000385539,-0.000502034,Inf
33.3293,1.30161,-0.0003165,-0.000411959,Inf
33.8557,1.3019,-0.000671558,-0.000874303,Inf
34.3894,1.30204,-0.00017349,-0.000225891,Inf
34.9048,1.30203,-7.48627E-5,-9.74732E-5,Inf
35.4417,1.30179,-0.000410195,-0.000533989,Inf
35.974,1.302,-0.000222804,-0.000290091,Inf
36.5021,1.30227,-0.000158696,-0.000206665,Inf
37.0365,1.30191,-0.000220338,-0.000286859,Inf
37.5603,1.30214,-0.000336225,-0.000437812,Inf
38.0933,1.30216,-0.000405264,-0.000527719,Inf
38.6234,1.30188,-2.55491E-5,-3.32617E-5,Inf
39.157,1.30222,-0.000447181,-0.000582328,Inf
39.6853,1.30227,-0.000370745,-0.000482809,Inf
40.2168,1.30228,-0.000336225,-0.00043786,Inf
40.7491,1.30169,-8.22598E-5,-0.000107077,Inf
41.271,1.30223,-0.000474303,-0.000617651,Inf
41.7939,1.30205,-8.28932E-6,-1.07931E-5,Inf
42.326,1.30199,-0.00020801,-0.000270826,Inf
42.8495,1.30236,-0.000353485,-0.000460365,Inf
43.3798,1.30196,-0.000540877,-0.000704199,Inf
43.9042,1.30196,-0.000203078,-0.0002644,Inf
44.4374,1.30208,-0.000193215,-0.000251582,Inf
44.9592,1.30204,-0.000249926,-0.000325414,Inf
45.4909,1.30221,-0.000143902,-0.000187391,Inf
46.0209,1.3023,-0.000193215,-0.000251625,Inf
46.5508,1.30233,-0.000301705,-0.00039292,Inf
47.0855,1.302,-0.000151299,-0.000196991,Inf
47.6185,1.30217,-8.71911E-5,-0.000113538,Inf
48.147,1.30196,-0.000294308,-0.000383178,Inf
48.6823,1.30177,-0.000417593,-0.000543611,Inf
49.2073,1.3017,-0.000358416,-0.000466551,Inf
49.7374,1.30212,-0.000397867,-0.00051807,Inf
50.2637,1.30215,-0.000267186,-0.000347915,Inf
50.7964,1.30226,-0.000417593,-0.000543816,Inf
51.3232,1.30213,-0.000417593,-0.000543761,Inf
51.8583,1.30231,-0.000289377,-0.000376858,Inf
