#ID:	2
#type:	Set light intensity
#start_time:	16/04/2025 17.38.22
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
##Sample holder climate : temperature:	[30.245,30.245] °C
##Sample holder climate : relative humidity:	[31.615,31.615] %
##IR temperature [0]:	[31.91,31.91] °C
##Stage temperature:	[30.7062,30.7062] °C
##Light intensity:	[0,100] %
#
#wavelength (nm),intensity (W/m2/nm)
330,0
332.969,4.07436E-5
335.937,7.86027E-5
338.906,0.0210082
341.875,0.0101832
344.844,1.23145E-5
347.812,4.22252E-5
350.781,1.924E-5
353.75,0.0981008
356.719,0.240883
359.687,0.641701
362.656,1.39319
365.625,2.56446
368.594,3.14709
371.562,3.14082
374.531,3.0115
377.5,2.82306
380.469,2.56632
383.437,2.47047
386.406,2.90585
389.375,3.14525
392.344,3.75595
395.312,3.64421
398.281,2.93219
401.25,2.38883
404.219,2.44651
407.187,2.55974
410.156,3.14169
413.125,4.51885
416.094,6.00549
419.062,5.74234
422.031,4.73276
425,4.18188
427.969,4.03794
430.937,4.43982
433.906,5.24515
436.875,6.62596
439.844,7.79163
442.812,8.11049
445.781,7.2295
448.75,5.78491
451.719,5.17137
454.687,4.86793
457.656,4.96705
460.625,4.84703
463.594,4.99101
466.562,5.5596
469.531,5.3767
472.5,4.93176
475.469,4.37622
478.437,4.02661
481.406,3.81622
484.375,3.71164
487.344,3.72127
490.312,3.71005
493.281,3.7552
496.25,3.82089
499.219,3.97146
502.187,4.178
505.156,4.28564
508.125,4.46592
511.094,4.60741
514.062,4.59934
517.031,4.65508
520,4.68663
522.969,4.69102
525.937,4.83408
528.906,4.76453
531.875,4.79111
534.844,4.87388
537.812,4.88045
540.781,4.93511
543.75,4.89556
546.719,4.95035
549.687,4.90476
552.656,4.75262
555.625,4.76158
558.594,4.56442
561.562,4.45732
564.531,4.35839
567.5,4.26463
570.469,4.23547
573.437,4.08465
576.406,4.0337
579.375,3.96589
582.344,3.94389
585.312,3.87314
588.281,3.79191
591.25,3.83191
594.219,3.63162
597.187,3.59548
600.156,3.53075
603.125,3.46646
606.094,3.31646
609.062,3.25133
612.031,3.25921
615,3.12439
617.969,3.04725
620.937,3.06368
623.906,2.94783
626.875,2.96807
629.844,2.98796
632.812,2.93206
635.781,2.85855
638.75,2.86819
641.719,2.84235
644.687,2.74933
647.656,2.71643
650.625,2.69185
653.594,2.69002
656.562,2.39694
659.531,2.19168
662.5,1.98955
665.469,1.84128
668.437,1.74751
671.406,1.91791
674.375,1.98614
677.344,2.10864
680.312,2.28007
683.281,2.41284
686.25,2.67648
689.219,2.56882
692.187,2.57411
695.156,2.39051
698.125,2.25658
701.094,2.39798
704.062,2.69551
707.031,3.0159
710,3.23484
712.969,3.45964
715.937,3.45563
718.906,3.55984
721.875,3.59398
724.844,3.81651
727.812,4.0027
730.781,4.49167
733.75,4.93885
736.719,4.93783
739.687,5.45053
742.656,5.25297
745.625,5.27821
748.594,5.20178
751.562,5.74944
754.531,6.78235
757.5,7.96355
760.469,9.19507
763.437,8.59985
766.406,7.63582
769.375,7.36562
772.344,6.07878
775.312,5.21715
778.281,4.1348
781.25,3.94078
784.219,3.0982
787.187,3.05275
790.156,2.68901
793.125,2.93669
796.094,3.07743
799.062,3.36978
802.031,3.68529
805,4.1852
807.969,3.89042
810.937,3.75008
813.906,3.18894
816.875,2.77187
819.844,2.63199
822.812,2.46234
825.781,2.28143
828.75,2.03798
831.719,1.65547
834.687,1.6489
