#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.38.22
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[30.245,34.779] °C
##Sample holder climate : relative humidity:	[31.615,31.739] %
##IR temperature [0]:	[31.91,44.35] °C
##Stage temperature:	[30.7062,51.4341] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.39829,-0.00111791
1.39817,-0.000969974
1.39316,-0.000883675
1.38341,-0.000922742
1.37819,-0.000899935
1.37352,-0.00091966
1.36847,-0.00091866
1.36401,-0.00107893
1.35917,-0.00104441
1.35424,-0.00113317
1.34962,-0.000930989
1.34469,-0.000747528
1.33485,-0.000836293
1.33484,-0.000794376
1.33001,-0.00118149
1.32034,-0.00118789
1.32013,-0.000938851
1.31068,-0.00103994
1.30558,-0.000844156
1.30525,-0.00113511
1.2958,-0.000935386
1.29085,-0.000821964
1.2858,-0.000973837
1.28575,-0.00101329
1.27552,-0.000912195
1.27101,-0.000658229
1.26585,-0.0012268
1.26105,-0.000718871
1.25608,-0.000940783
1.24627,-0.00100636
1.2466,-0.00102362
1.2416,-0.00104581
1.23632,-0.00119868
1.22684,-0.00118782
1.22692,-0.0010522
1.21652,-0.000852484
1.21651,-0.00091166
1.21208,-0.00102755
1.20238,-0.000829293
1.19771,-0.000644367
1.1972,-0.000794773
1.18784,-0.000626107
1.18253,-0.00092692
1.17788,-0.000921989
1.17304,-0.000803636
1.16786,-0.00111085
1.16797,-0.00108126
1.158,-0.000787842
1.14877,-0.00109998
1.14886,-0.000791773
1.14368,-0.000991493
1.13889,-0.000927386
1.12912,-0.00100036
1.1292,-0.000975699
1.12424,-0.000867209
1.11427,-0.00079817
1.1143,-0.00119021
1.10466,-0.000950043
1.10463,-0.00101415
1.09504,-0.00107086
1.09027,-0.000876072
1.09021,-0.00112511
1.08081,-0.00106
1.07588,-0.00111178
1.07112,-0.00109452
1.06134,-0.000753254
1.06116,-0.00102201
1.05641,-0.000814896
1.0516,-0.000965302
1.04635,-0.000791705
1.04187,-0.00101608
1.03211,-0.000949508
1.03239,-0.000892798
1.02223,-0.000822758
1.01726,-0.00079317
1.01747,-0.000849881
1.00762,-0.00104614
1.00286,-0.000868606
0.998463,-0.000836553
0.993512,-0.00117435
0.988157,-0.00102048
0.983162,-0.000598847
0.978285,-0.000801033
0.97355,-0.00080843
0.968777,-0.000797567
0.964033,-0.000602778
0.954415,-0.000886332
0.954736,-0.000854278
0.944542,-0.000870538
0.94499,-0.000880401
0.935021,-0.000900126
0.935009,-0.00104314
0.925289,-0.000672283
0.920603,-0.000921317
0.915499,-0.000854744
0.910379,-0.000435578
0.905717,-0.000644161
0.900836,-0.00073046
0.895961,-0.00066142
0.890865,-0.000691009
0.886161,-0.00062097
0.881513,-0.000618504
0.871699,-0.000906989
0.871645,-0.000704803
0.86682,-0.000817224
0.857019,-0.000817224
0.852384,-0.000615038
0.852401,-0.000780239
0.842483,-0.00054993
0.842617,-0.000552396
0.827965,-0.000839881
0.828147,-0.000679612
0.827964,-0.000664818
0.828337,-0.000990288
0.803952,-0.000626832
0.803833,-0.000801896
0.80854,-0.000493685
0.808801,-0.000722994
0.784368,-0.000697337
0.78414,-0.000571587
0.784337,-0.000544465
0.784274,-0.000591313
0.769994,-0.000601175
0.769949,-0.000756513
0.755326,-0.00067168
0.755216,-0.000757979
0.755207,-0.000782636
0.755202,-0.000790033
0.736021,-0.000683009
0.735985,-0.000946837
0.731197,-0.000828484
0.731176,-0.000909851
0.716744,-0.000775705
0.716527,-0.000701734
0.706708,-0.000875798
0.706738,-0.000814155
0.702257,-0.00068594
0.702183,-0.000710597
0.682369,-0.000729322
0.682812,-0.000753979
0.682603,-0.000675077
0.682657,-0.000867401
0.663357,-0.000688871
0.663499,-0.000600107
0.658712,-0.000849141
0.658509,-0.000659283
0.643659,-0.000628695
0.643372,-0.000554725
0.638717,-0.00077417
0.638884,-0.000616367
0.62423,-0.000906317
0.624407,-0.000987685
0.614314,-0.00101974
0.614737,-0.00109124
0.609819,-0.000869332
0.609649,-0.00068194
0.590529,-0.000809155
0.590483,-0.000856003
0.585899,-0.000573916
0.585969,-0.000889523
0.57628,-0.000675009
0.576443,-0.000778567
0.561674,-0.00066168
0.561986,-0.00080469
0.55701,-0.000730719
0.556835,-0.000836744
0.542332,-0.00046096
0.542467,-0.000638489
0.532712,-0.000576847
0.532987,-0.000638489
0.52317,-0.000536396
0.523073,-0.000869263
0.513647,-0.000738582
0.513519,-0.000896386
0.504068,-0.0006932
0.503992,-0.000545259
0.490049,-0.000712925
0.489604,-0.000747445
0.489684,-0.000937302
0.489652,-0.00065868
0.461283,-0.000913111
0.461179,-0.000678871
0.470617,-0.00108671
0.470514,-0.000628092
0.446932,-0.000808553
0.446784,-0.00079869
0.446934,-0.00088992
0.446877,-0.000958959
0.423197,-0.000703994
0.423089,-0.000994944
0.427863,-0.000861798
0.42802,-0.000810018
0.403756,-0.000789293
0.403541,-0.0006882
0.403571,-0.000569847
0.403938,-0.000335607
0.389744,-0.000451494
0.389509,-0.000577244
0.379886,-0.000738979
0.380307,-0.000403646
0.365759,-0.000789758
0.365552,-0.000844003
0.365502,-0.000676337
0.3653,-0.000639352
0.336782,-0.00075917
0.336997,-0.00077643
0.350948,-0.000765102
0.351081,-0.000548122
0.317662,-0.000713788
0.317507,-0.000585573
0.327288,-0.000568313
0.327168,-0.000859263
0.298498,-0.000769499
0.298702,-0.000554984
0.303377,-0.00048348
0.303289,-0.000769499
0.278055,-0.00030495
0.277861,-0.000423303
0.287942,-0.000679734
0.288023,-0.000815347
0.247655,-0.000648146
0.247642,-0.000487877
0.277889,-0.000583573
0.277964,-0.000706857
0.222353,-0.000728513
0.222662,-0.000767964
0.25755,-0.000728048
0.2574,-0.000617092
0.202028,-0.000446426
0.202078,-0.000680665
0.237351,-0.000707322
0.237537,-0.000672803
0.176772,-0.000773361
0.176667,-0.000553916
0.227621,-0.000425235
0.227351,-0.000348798
0.146642,-0.000620955
0.146593,-0.000655474
0.212219,-0.000523862
0.212336,-0.000657009
0.121584,-0.000545984
0.121462,-0.00107364
0.197347,-0.000604229
0.197402,-0.000611626
0.096408,-0.000572107
0.0963803,-0.000821141
0.17681,-0.000746239
0.177,-0.000916371
0.0760647,-0.00047248
0.0763185,-0.000543984
0.161617,-0.000575107
0.161856,-0.000488808
0.0460235,-0.000586367
0.0459649,-0.000374318
0.151408,-0.000599764
0.151737,-0.000437029
0.0151898,-0.00050893
0.0152931,-0.000506465
0.136331,-0.000768896
0.136209,-0.000682597
-0.00504684,-0.000507931
-0.00481378,-0.000690391
0.116424,-0.000718582
0.116413,-0.000829538
-0.0300651,-0.000780621
-0.0301559,-0.000615421
0.10125,-0.000505533
0.101388,-0.000589367
-0.0539701,-0.000411235
-0.0537062,-0.000485205
0.0861467,-0.000677131
0.0863156,-0.000531656
-0.0828465,-0.000794881
-0.082853,-0.000585298
0.0713246,-0.000716582
0.0713018,-0.00063768
-0.10691,-0.00052019
-0.106742,-0.00033773
0.0555605,-0.000693391
0.0556985,-0.000523259
-0.130647,-0.000489602
-0.130626,-0.000366318
0.0357175,-0.000773758
0.0356497,-0.000495136
-0.149566,-0.000680925
-0.149765,-0.000779553
0.0103621,-0.000716048
0.0101385,-0.000590298
-0.16394,-0.00044322
-0.163789,-0.000423494
-0.0147035,-0.000267759
-0.0148645,-0.000588298
-0.177926,-0.00060742
-0.177926,-0.000720842
-0.0441514,-0.000402372
-0.044401,-0.00072291
-0.187359,-0.00053345
-0.187565,-0.000373181
-0.073284,-0.000642009
-0.0730553,-0.00042996
-0.206489,-0.000308073
-0.206382,-0.000512725
-0.0924073,-0.000818538
-0.0924104,-0.000727308
-0.225871,-0.000450083
-0.225823,-0.000472274
-0.116494,-0.000423029
-0.116223,-0.000563573
-0.244958,-0.000515656
-0.244925,-0.000498396
-0.135367,-0.000606955
-0.135208,-0.000639009
-0.264253,-0.000559038
NaN,NaN
